name	occupation	gender	citizenship	noble title	place of birth	employer	member of	academic degree	religion	award
Leslie Lamport	programmer	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		doctor honoris causa
Leslie Lamport	engineer	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		ACM Fellow
Leslie Lamport	computer scientist	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		ACM Fellow
Leslie Lamport	mathematician	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		ACM Fellow
Leslie Lamport	programmer	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		ACM Fellow
Leslie Lamport	engineer	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		ACM Fellow
Leslie Lamport	computer scientist	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		ACM Fellow
Leslie Lamport	mathematician	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		ACM Fellow
Leslie Lamport	programmer	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		ACM Fellow
Leslie Lamport	engineer	male	United States of America		New York City		National Academy of Sciences	Master of Science		ACM Fellow
Leslie Lamport	computer scientist	male	United States of America		New York City		National Academy of Sciences	Master of Science		ACM Fellow
Leslie Lamport	mathematician	male	United States of America		New York City		National Academy of Sciences	Master of Science		ACM Fellow
Leslie Lamport	programmer	male	United States of America		New York City		National Academy of Sciences	Master of Science		ACM Fellow
Leslie Lamport	engineer	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		ACM Fellow
Leslie Lamport	computer scientist	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		ACM Fellow
Leslie Lamport	mathematician	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		ACM Fellow
Leslie Lamport	programmer	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		ACM Fellow
Leslie Lamport	engineer	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		honorary doctorate of the University of Rennes I
Leslie Lamport	computer scientist	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		honorary doctorate of the University of Rennes I
Leslie Lamport	mathematician	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		honorary doctorate of the University of Rennes I
Leslie Lamport	programmer	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		honorary doctorate of the University of Rennes I
Leslie Lamport	engineer	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		honorary doctorate of the University of Rennes I
Leslie Lamport	computer scientist	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		honorary doctorate of the University of Rennes I
Leslie Lamport	mathematician	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		honorary doctorate of the University of Rennes I
Leslie Lamport	programmer	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		honorary doctorate of the University of Rennes I
Leslie Lamport	engineer	male	United States of America		New York City		National Academy of Sciences	Master of Science		honorary doctorate of the University of Rennes I
Leslie Lamport	computer scientist	male	United States of America		New York City		National Academy of Sciences	Master of Science		honorary doctorate of the University of Rennes I
Leslie Lamport	mathematician	male	United States of America		New York City		National Academy of Sciences	Master of Science		honorary doctorate of the University of Rennes I
Leslie Lamport	programmer	male	United States of America		New York City		National Academy of Sciences	Master of Science		honorary doctorate of the University of Rennes I
Leslie Lamport	engineer	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		honorary doctorate of the University of Rennes I
Leslie Lamport	computer scientist	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		honorary doctorate of the University of Rennes I
Leslie Lamport	mathematician	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		honorary doctorate of the University of Rennes I
Leslie Lamport	programmer	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		honorary doctorate of the University of Rennes I
Leslie Lamport	engineer	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		honorary doctor of the École polytechnique fédérale de Lausanne
Leslie Lamport	computer scientist	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		honorary doctor of the École polytechnique fédérale de Lausanne
Leslie Lamport	mathematician	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		honorary doctor of the École polytechnique fédérale de Lausanne
Leslie Lamport	programmer	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		honorary doctor of the École polytechnique fédérale de Lausanne
Leslie Lamport	engineer	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		honorary doctor of the École polytechnique fédérale de Lausanne
Leslie Lamport	computer scientist	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		honorary doctor of the École polytechnique fédérale de Lausanne
Leslie Lamport	mathematician	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		honorary doctor of the École polytechnique fédérale de Lausanne
Leslie Lamport	programmer	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		honorary doctor of the École polytechnique fédérale de Lausanne
Leslie Lamport	engineer	male	United States of America		New York City		National Academy of Sciences	Master of Science		honorary doctor of the École polytechnique fédérale de Lausanne
Leslie Lamport	computer scientist	male	United States of America		New York City		National Academy of Sciences	Master of Science		honorary doctor of the École polytechnique fédérale de Lausanne
Leslie Lamport	mathematician	male	United States of America		New York City		National Academy of Sciences	Master of Science		honorary doctor of the École polytechnique fédérale de Lausanne
Leslie Lamport	programmer	male	United States of America		New York City		National Academy of Sciences	Master of Science		honorary doctor of the École polytechnique fédérale de Lausanne
Leslie Lamport	engineer	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		honorary doctor of the École polytechnique fédérale de Lausanne
Leslie Lamport	computer scientist	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		honorary doctor of the École polytechnique fédérale de Lausanne
Leslie Lamport	mathematician	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		honorary doctor of the École polytechnique fédérale de Lausanne
Leslie Lamport	programmer	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		honorary doctor of the École polytechnique fédérale de Lausanne
Douglas Engelbart	inventor	male	United States of America		Portland		American Academy of Arts and Sciences			EFF Pioneer Award
Douglas Engelbart	inventor	male	United States of America		Portland		National Academy of Engineering			EFF Pioneer Award
Douglas Engelbart	inventor	male	United States of America		Portland		American Academy of Arts and Sciences			Turing Award
Douglas Engelbart	inventor	male	United States of America		Portland		National Academy of Engineering			Turing Award
Douglas Engelbart	inventor	male	United States of America		Portland		American Academy of Arts and Sciences			Lemelson–MIT Prize
Douglas Engelbart	inventor	male	United States of America		Portland		National Academy of Engineering			Lemelson–MIT Prize
Douglas Engelbart	inventor	male	United States of America		Portland		American Academy of Arts and Sciences			IEEE John von Neumann Medal
Douglas Engelbart	inventor	male	United States of America		Portland		National Academy of Engineering			IEEE John von Neumann Medal
Douglas Engelbart	inventor	male	United States of America		Portland		American Academy of Arts and Sciences			Benjamin Franklin Medal
Douglas Engelbart	inventor	male	United States of America		Portland		National Academy of Engineering			Benjamin Franklin Medal
Douglas Engelbart	inventor	male	United States of America		Portland		American Academy of Arts and Sciences			National Medal of Technology and Innovation
Douglas Engelbart	inventor	male	United States of America		Portland		National Academy of Engineering			National Medal of Technology and Innovation
Douglas Engelbart	inventor	male	United States of America		Portland		American Academy of Arts and Sciences			ACM Software System Award
Douglas Engelbart	inventor	male	United States of America		Portland		National Academy of Engineering			ACM Software System Award
Douglas Engelbart	inventor	male	United States of America		Portland		American Academy of Arts and Sciences			Lovelace Medal
Douglas Engelbart	inventor	male	United States of America		Portland		National Academy of Engineering			Lovelace Medal
Douglas Engelbart	inventor	male	United States of America		Portland		American Academy of Arts and Sciences			National Inventors Hall of Fame
Douglas Engelbart	inventor	male	United States of America		Portland		National Academy of Engineering			National Inventors Hall of Fame
Douglas Engelbart	inventor	male	United States of America		Portland		American Academy of Arts and Sciences			Computer Pioneer Award
Douglas Engelbart	inventor	male	United States of America		Portland		National Academy of Engineering			Computer Pioneer Award
Douglas Engelbart	inventor	male	United States of America		Portland		American Academy of Arts and Sciences			CHI Academy
Douglas Engelbart	inventor	male	United States of America		Portland		National Academy of Engineering			CHI Academy
Douglas Engelbart	inventor	male	United States of America		Portland		American Academy of Arts and Sciences			Internet Hall of Fame
Douglas Engelbart	inventor	male	United States of America		Portland		National Academy of Engineering			Internet Hall of Fame
Douglas Engelbart	inventor	male	United States of America		Portland		American Academy of Arts and Sciences			Yuri Rubinsky Memorial Award
Douglas Engelbart	inventor	male	United States of America		Portland		National Academy of Engineering			Yuri Rubinsky Memorial Award
Douglas Engelbart	inventor	male	United States of America		Portland		American Academy of Arts and Sciences			Norbert Wiener Award for Social and Professional Responsibility
Douglas Engelbart	inventor	male	United States of America		Portland		National Academy of Engineering			Norbert Wiener Award for Social and Professional Responsibility
Douglas Engelbart	inventor	male	United States of America		Portland		American Academy of Arts and Sciences			Computer History Museum fellow
Douglas Engelbart	inventor	male	United States of America		Portland		National Academy of Engineering			Computer History Museum fellow
Peter Naur	astronomer	male	Denmark		Frederiksberg			Doctor of Philosophy		Turing Award
Peter Naur	computer scientist	male	Denmark		Frederiksberg			Doctor of Philosophy		Turing Award
Peter Naur	university teacher	male	Denmark		Frederiksberg			Doctor of Philosophy		Turing Award
Peter Naur	astronomer	male	Denmark		Frederiksberg			Doctor of Philosophy		Computer Pioneer Award
Peter Naur	computer scientist	male	Denmark		Frederiksberg			Doctor of Philosophy		Computer Pioneer Award
Peter Naur	university teacher	male	Denmark		Frederiksberg			Doctor of Philosophy		Computer Pioneer Award
Peter Naur	astronomer	male	Denmark		Frederiksberg			Doctor of Philosophy		Q10656994
Peter Naur	computer scientist	male	Denmark		Frederiksberg			Doctor of Philosophy		Q10656994
Peter Naur	university teacher	male	Denmark		Frederiksberg			Doctor of Philosophy		Q10656994
Peter Naur	astronomer	male	Denmark		Frederiksberg			Doctor of Philosophy		G.A. Hagemann Gold Medal
Peter Naur	computer scientist	male	Denmark		Frederiksberg			Doctor of Philosophy		G.A. Hagemann Gold Medal
Peter Naur	university teacher	male	Denmark		Frederiksberg			Doctor of Philosophy		G.A. Hagemann Gold Medal
Richard Hamming	engineer	male	United States of America		Chicago		Association for Computing Machinery			IEEE Fellow
Richard Hamming	computer scientist	male	United States of America		Chicago		Association for Computing Machinery			IEEE Fellow
Richard Hamming	mathematician	male	United States of America		Chicago		Association for Computing Machinery			IEEE Fellow
Richard Hamming	engineer	male	United States of America		Chicago		Institute of Electrical and Electronics Engineers			IEEE Fellow
Richard Hamming	computer scientist	male	United States of America		Chicago		Institute of Electrical and Electronics Engineers			IEEE Fellow
Richard Hamming	mathematician	male	United States of America		Chicago		Institute of Electrical and Electronics Engineers			IEEE Fellow
Richard Hamming	engineer	male	United States of America		Chicago		Association for Computing Machinery			Turing Award
Richard Hamming	computer scientist	male	United States of America		Chicago		Association for Computing Machinery			Turing Award
Richard Hamming	mathematician	male	United States of America		Chicago		Association for Computing Machinery			Turing Award
Richard Hamming	engineer	male	United States of America		Chicago		Institute of Electrical and Electronics Engineers			Turing Award
Richard Hamming	computer scientist	male	United States of America		Chicago		Institute of Electrical and Electronics Engineers			Turing Award
Richard Hamming	mathematician	male	United States of America		Chicago		Institute of Electrical and Electronics Engineers			Turing Award
Richard Hamming	engineer	male	United States of America		Chicago		Association for Computing Machinery			Eduard Rhein Foundation
Richard Hamming	computer scientist	male	United States of America		Chicago		Association for Computing Machinery			Eduard Rhein Foundation
Richard Hamming	mathematician	male	United States of America		Chicago		Association for Computing Machinery			Eduard Rhein Foundation
Richard Hamming	engineer	male	United States of America		Chicago		Institute of Electrical and Electronics Engineers			Eduard Rhein Foundation
Richard Hamming	computer scientist	male	United States of America		Chicago		Institute of Electrical and Electronics Engineers			Eduard Rhein Foundation
Richard Hamming	mathematician	male	United States of America		Chicago		Institute of Electrical and Electronics Engineers			Eduard Rhein Foundation
Richard Hamming	engineer	male	United States of America		Chicago		Association for Computing Machinery			IEEE Richard W. Hamming Medal
Richard Hamming	computer scientist	male	United States of America		Chicago		Association for Computing Machinery			IEEE Richard W. Hamming Medal
Richard Hamming	mathematician	male	United States of America		Chicago		Association for Computing Machinery			IEEE Richard W. Hamming Medal
Richard Hamming	engineer	male	United States of America		Chicago		Institute of Electrical and Electronics Engineers			IEEE Richard W. Hamming Medal
Richard Hamming	computer scientist	male	United States of America		Chicago		Institute of Electrical and Electronics Engineers			IEEE Richard W. Hamming Medal
Richard Hamming	mathematician	male	United States of America		Chicago		Institute of Electrical and Electronics Engineers			IEEE Richard W. Hamming Medal
Richard Hamming	engineer	male	United States of America		Chicago		Association for Computing Machinery			IEEE Emanuel R. Piore Award
Richard Hamming	computer scientist	male	United States of America		Chicago		Association for Computing Machinery			IEEE Emanuel R. Piore Award
Richard Hamming	mathematician	male	United States of America		Chicago		Association for Computing Machinery			IEEE Emanuel R. Piore Award
Richard Hamming	engineer	male	United States of America		Chicago		Institute of Electrical and Electronics Engineers			IEEE Emanuel R. Piore Award
Richard Hamming	computer scientist	male	United States of America		Chicago		Institute of Electrical and Electronics Engineers			IEEE Emanuel R. Piore Award
Richard Hamming	mathematician	male	United States of America		Chicago		Institute of Electrical and Electronics Engineers			IEEE Emanuel R. Piore Award
John L. Hennessy	university teacher	male	United States of America		Huntington		Association for Computing Machinery			IEEE Fellow
John L. Hennessy	academic	male	United States of America		Huntington		Association for Computing Machinery			IEEE Fellow
John L. Hennessy	university teacher	male	United States of America		Huntington		National Academy of Sciences			IEEE Fellow
John L. Hennessy	academic	male	United States of America		Huntington		National Academy of Sciences			IEEE Fellow
John L. Hennessy	university teacher	male	United States of America		Huntington		American Academy of Arts and Sciences			IEEE Fellow
John L. Hennessy	academic	male	United States of America		Huntington		American Academy of Arts and Sciences			IEEE Fellow
John L. Hennessy	university teacher	male	United States of America		Huntington		National Academy of Engineering			IEEE Fellow
John L. Hennessy	academic	male	United States of America		Huntington		National Academy of Engineering			IEEE Fellow
John L. Hennessy	university teacher	male	United States of America		Huntington		Royal Academy of Engineering of Spain			IEEE Fellow
John L. Hennessy	academic	male	United States of America		Huntington		Royal Academy of Engineering of Spain			IEEE Fellow
John L. Hennessy	university teacher	male	United States of America		Huntington		Association for Computing Machinery			Turing Award
John L. Hennessy	academic	male	United States of America		Huntington		Association for Computing Machinery			Turing Award
John L. Hennessy	university teacher	male	United States of America		Huntington		National Academy of Sciences			Turing Award
John L. Hennessy	academic	male	United States of America		Huntington		National Academy of Sciences			Turing Award
John L. Hennessy	university teacher	male	United States of America		Huntington		American Academy of Arts and Sciences			Turing Award
John L. Hennessy	academic	male	United States of America		Huntington		American Academy of Arts and Sciences			Turing Award
John L. Hennessy	university teacher	male	United States of America		Huntington		National Academy of Engineering			Turing Award
John L. Hennessy	academic	male	United States of America		Huntington		National Academy of Engineering			Turing Award
John L. Hennessy	university teacher	male	United States of America		Huntington		Royal Academy of Engineering of Spain			Turing Award
John L. Hennessy	academic	male	United States of America		Huntington		Royal Academy of Engineering of Spain			Turing Award
John L. Hennessy	university teacher	male	United States of America		Huntington		Association for Computing Machinery			IEEE Medal of Honor
John L. Hennessy	academic	male	United States of America		Huntington		Association for Computing Machinery			IEEE Medal of Honor
John L. Hennessy	university teacher	male	United States of America		Huntington		National Academy of Sciences			IEEE Medal of Honor
John L. Hennessy	academic	male	United States of America		Huntington		National Academy of Sciences			IEEE Medal of Honor
John L. Hennessy	university teacher	male	United States of America		Huntington		American Academy of Arts and Sciences			IEEE Medal of Honor
John L. Hennessy	academic	male	United States of America		Huntington		American Academy of Arts and Sciences			IEEE Medal of Honor
John L. Hennessy	university teacher	male	United States of America		Huntington		National Academy of Engineering			IEEE Medal of Honor
John L. Hennessy	academic	male	United States of America		Huntington		National Academy of Engineering			IEEE Medal of Honor
John L. Hennessy	university teacher	male	United States of America		Huntington		Royal Academy of Engineering of Spain			IEEE Medal of Honor
John L. Hennessy	academic	male	United States of America		Huntington		Royal Academy of Engineering of Spain			IEEE Medal of Honor
John L. Hennessy	university teacher	male	United States of America		Huntington		Association for Computing Machinery			IEEE John von Neumann Medal
John L. Hennessy	academic	male	United States of America		Huntington		Association for Computing Machinery			IEEE John von Neumann Medal
John L. Hennessy	university teacher	male	United States of America		Huntington		National Academy of Sciences			IEEE John von Neumann Medal
John L. Hennessy	academic	male	United States of America		Huntington		National Academy of Sciences			IEEE John von Neumann Medal
John L. Hennessy	university teacher	male	United States of America		Huntington		American Academy of Arts and Sciences			IEEE John von Neumann Medal
John L. Hennessy	academic	male	United States of America		Huntington		American Academy of Arts and Sciences			IEEE John von Neumann Medal
John L. Hennessy	university teacher	male	United States of America		Huntington		National Academy of Engineering			IEEE John von Neumann Medal
John L. Hennessy	academic	male	United States of America		Huntington		National Academy of Engineering			IEEE John von Neumann Medal
John L. Hennessy	university teacher	male	United States of America		Huntington		Royal Academy of Engineering of Spain			IEEE John von Neumann Medal
John L. Hennessy	academic	male	United States of America		Huntington		Royal Academy of Engineering of Spain			IEEE John von Neumann Medal
John L. Hennessy	university teacher	male	United States of America		Huntington		Association for Computing Machinery			Eckert–Mauchly Award
John L. Hennessy	academic	male	United States of America		Huntington		Association for Computing Machinery			Eckert–Mauchly Award
John L. Hennessy	university teacher	male	United States of America		Huntington		National Academy of Sciences			Eckert–Mauchly Award
John L. Hennessy	academic	male	United States of America		Huntington		National Academy of Sciences			Eckert–Mauchly Award
John L. Hennessy	university teacher	male	United States of America		Huntington		American Academy of Arts and Sciences			Eckert–Mauchly Award
John L. Hennessy	academic	male	United States of America		Huntington		American Academy of Arts and Sciences			Eckert–Mauchly Award
John L. Hennessy	university teacher	male	United States of America		Huntington		National Academy of Engineering			Eckert–Mauchly Award
John L. Hennessy	academic	male	United States of America		Huntington		National Academy of Engineering			Eckert–Mauchly Award
John L. Hennessy	university teacher	male	United States of America		Huntington		Royal Academy of Engineering of Spain			Eckert–Mauchly Award
John L. Hennessy	academic	male	United States of America		Huntington		Royal Academy of Engineering of Spain			Eckert–Mauchly Award
John L. Hennessy	university teacher	male	United States of America		Huntington		Association for Computing Machinery			IEEE Emanuel R. Piore Award
John L. Hennessy	academic	male	United States of America		Huntington		Association for Computing Machinery			IEEE Emanuel R. Piore Award
John L. Hennessy	university teacher	male	United States of America		Huntington		National Academy of Sciences			IEEE Emanuel R. Piore Award
John L. Hennessy	academic	male	United States of America		Huntington		National Academy of Sciences			IEEE Emanuel R. Piore Award
John L. Hennessy	university teacher	male	United States of America		Huntington		American Academy of Arts and Sciences			IEEE Emanuel R. Piore Award
John L. Hennessy	academic	male	United States of America		Huntington		American Academy of Arts and Sciences			IEEE Emanuel R. Piore Award
John L. Hennessy	university teacher	male	United States of America		Huntington		National Academy of Engineering			IEEE Emanuel R. Piore Award
John L. Hennessy	academic	male	United States of America		Huntington		National Academy of Engineering			IEEE Emanuel R. Piore Award
